Date,Close/Last,Volume,Open,High,Low,Brand
5/9/23,$40.19 ,78975,$40.00 ,$40.30 ,$39.45 ,BMW
5/8/23,$39.95 ,41442,$40.28 ,$40.38 ,$39.95 ,BMW
5/5/23,$39.64 ,82429,$38.80 ,$39.75 ,$38.80 ,BMW
5/4/23,$38.15 ,32718,$37.95 ,$38.25 ,$37.70 ,BMW
5/3/23,$37.12 ,33314,$37.16 ,$37.75 ,$37.12 ,BMW
5/2/23,$36.95 ,28333,$37.14 ,$37.16 ,$36.75 ,BMW
5/1/23,$37.15 ,72625,$37.53 ,$37.53 ,$37.02 ,BMW
4/28/23,$37.32 ,35135,$36.98 ,$37.45 ,$36.92 ,BMW
4/27/23,$37.20 ,51855,$37.46 ,$37.47 ,$36.96 ,BMW
4/26/23,$37.15 ,47756,$37.23 ,$37.39 ,$37.00 ,BMW
4/25/23,$36.94 ,44388,$37.38 ,$37.38 ,$36.86 ,BMW
4/24/23,$37.45 ,68333,$37.23 ,$37.51 ,$37.19 ,BMW
4/21/23,$36.85 ,27880,$36.75 ,$36.98 ,$36.39 ,BMW
4/20/23,$36.80 ,158150,$36.43 ,$37.12 ,$36.20 ,BMW
4/19/23,$37.94 ,61122,$37.88 ,$38.14 ,$37.75 ,BMW
4/18/23,$38.08 ,113324,$37.89 ,$38.11 ,$37.88 ,BMW
4/17/23,$37.67 ,75867,$37.30 ,$37.67 ,$37.22 ,BMW
4/14/23,$37.93 ,39005,$38.04 ,$38.22 ,$37.78 ,BMW
4/13/23,$37.85 ,83573,$37.75 ,$38.02 ,$37.53 ,BMW
4/12/23,$37.61 ,59812,$37.61 ,$37.79 ,$37.52 ,BMW
4/11/23,$36.71 ,40533,$36.52 ,$36.77 ,$36.52 ,BMW
4/10/23,$35.99 ,31244,$36.60 ,$36.60 ,$35.71 ,BMW
4/6/23,$35.90 ,175338,$35.49 ,$36.01 ,$35.49 ,BMW
4/5/23,$35.97 ,42437,$36.25 ,$36.25 ,$35.88 ,BMW
4/4/23,$37.00 ,42777,$37.25 ,$37.36 ,$36.89 ,BMW
4/3/23,$36.66 ,19657,$36.68 ,$36.79 ,$36.50 ,BMW
3/31/23,$36.49 ,17292,$36.63 ,$36.63 ,$36.41 ,BMW
3/30/23,$36.58 ,42082,$36.41 ,$36.61 ,$36.35 ,BMW
3/29/23,$35.77 ,29263,$35.60 ,$35.81 ,$35.59 ,BMW
3/28/23,$35.67 ,40260,$35.65 ,$35.86 ,$35.56 ,BMW
3/27/23,$35.50 ,36767,$35.74 ,$35.74 ,$35.42 ,BMW
3/24/23,$35.13 ,32741,$34.88 ,$35.17 ,$34.70 ,BMW
3/23/23,$35.38 ,33295,$35.59 ,$35.90 ,$35.26 ,BMW
3/22/23,$35.20 ,46347,$35.36 ,$35.77 ,$35.20 ,BMW
3/21/23,$35.11 ,52172,$34.95 ,$35.18 ,$34.85 ,BMW
3/20/23,$34.29 ,61607,$33.90 ,$34.29 ,$33.90 ,BMW
3/17/23,$33.64 ,65615,$33.50 ,$33.76 ,$33.24 ,BMW
3/16/23,$34.02 ,50997,$33.30 ,$34.02 ,$33.29 ,BMW
3/15/23,$33.70 ,72830,$32.97 ,$33.75 ,$32.96 ,BMW
3/14/23,$34.12 ,27865,$33.89 ,$34.18 ,$33.78 ,BMW
3/13/23,$33.86 ,42359,$33.73 ,$33.97 ,$33.62 ,BMW
3/10/23,$34.51 ,35506,$34.59 ,$34.94 ,$34.44 ,BMW
3/9/23,$34.76 ,44988,$34.95 ,$35.18 ,$34.70 ,BMW
3/8/23,$35.37 ,208377,$35.51 ,$35.73 ,$35.34 ,BMW
3/7/23,$35.36 ,16107,$36.00 ,$36.00 ,$35.33 ,BMW
3/6/23,$35.99 ,39635,$36.02 ,$36.13 ,$35.95 ,BMW
3/3/23,$36.02 ,38227,$35.91 ,$36.07 ,$35.64 ,BMW
3/2/23,$35.14 ,37025,$34.76 ,$35.21 ,$34.75 ,BMW
3/1/23,$35.26 ,28710,$35.48 ,$35.57 ,$35.19 ,BMW
2/28/23,$34.41 ,23733,$34.87 ,$34.87 ,$34.39 ,BMW
2/27/23,$34.72 ,52360,$34.69 ,$34.88 ,$34.60 ,BMW
2/24/23,$34.20 ,24656,$34.50 ,$34.60 ,$34.13 ,BMW
2/23/23,$35.32 ,19230,$35.20 ,$35.37 ,$35.03 ,BMW
2/22/23,$34.75 ,43617,$34.84 ,$34.97 ,$34.66 ,BMW
2/21/23,$35.01 ,43991,$35.05 ,$35.20 ,$34.89 ,BMW
2/17/23,$35.61 ,29910,$35.34 ,$35.67 ,$35.23 ,BMW
2/16/23,$35.18 ,32475,$35.00 ,$35.50 ,$34.92 ,BMW
2/15/23,$35.43 ,18695,$35.13 ,$35.43 ,$35.07 ,BMW
2/14/23,$35.15 ,30320,$34.85 ,$35.29 ,$34.77 ,BMW
2/13/23,$34.91 ,60081,$34.90 ,$35.00 ,$34.80 ,BMW
2/10/23,$34.86 ,25361,$34.89 ,$34.89 ,$34.68 ,BMW
2/9/23,$35.36 ,51773,$35.54 ,$35.66 ,$35.29 ,BMW
2/8/23,$34.80 ,38749,$35.03 ,$35.09 ,$34.75 ,BMW
2/7/23,$34.84 ,91500,$34.64 ,$35.01 ,$34.42 ,BMW
2/6/23,$34.59 ,1088758,$34.74 ,$34.87 ,$34.52 ,BMW
2/3/23,$34.97 ,178604,$35.22 ,$35.42 ,$34.92 ,BMW
2/2/23,$35.51 ,149176,$35.49 ,$35.90 ,$35.26 ,BMW
2/1/23,$35.05 ,71143,$34.09 ,$35.15 ,$34.09 ,BMW
1/31/23,$33.85 ,32624,$33.44 ,$33.85 ,$33.37 ,BMW
1/30/23,$32.99 ,34934,$33.24 ,$33.31 ,$32.99 ,BMW
1/27/23,$33.63 ,41841,$33.51 ,$33.75 ,$33.50 ,BMW
1/26/23,$33.65 ,36868,$33.50 ,$33.65 ,$33.36 ,BMW
1/25/23,$33.46 ,50847,$33.16 ,$33.51 ,$33.14 ,BMW
1/24/23,$33.25 ,44910,$32.96 ,$33.41 ,$32.81 ,BMW
1/23/23,$33.22 ,104006,$32.83 ,$33.28 ,$32.81 ,BMW
1/20/23,$32.69 ,97638,$32.39 ,$32.69 ,$32.25 ,BMW
1/19/23,$32.65 ,71450,$32.46 ,$32.70 ,$32.38 ,BMW
1/18/23,$32.83 ,71782,$33.25 ,$33.30 ,$32.73 ,BMW
1/17/23,$33.09 ,75951,$33.09 ,$33.37 ,$33.00 ,BMW
1/13/23,$33.21 ,60146,$32.97 ,$33.23 ,$32.90 ,BMW
1/12/23,$33.76 ,55742,$33.53 ,$33.82 ,$33.22 ,BMW
1/11/23,$32.97 ,352637,$32.75 ,$33.02 ,$32.67 ,BMW
1/10/23,$32.48 ,47201,$32.42 ,$32.51 ,$32.16 ,BMW
1/9/23,$31.91 ,145402,$32.11 ,$32.36 ,$31.91 ,BMW
1/6/23,$31.84 ,35521,$30.93 ,$31.91 ,$30.86 ,BMW
1/5/23,$31.21 ,45403,$31.19 ,$31.32 ,$31.14 ,BMW
1/4/23,$30.95 ,63223,$30.94 ,$31.09 ,$30.77 ,BMW
1/3/23,$30.24 ,47469,$30.38 ,$30.46 ,$30.08 ,BMW
12/30/22,$29.66 ,41317,$29.77 ,$29.77 ,$29.45 ,BMW
12/29/22,$29.80 ,39699,$29.62 ,$29.84 ,$29.62 ,BMW
12/28/22,$29.29 ,36715,$29.56 ,$29.56 ,$29.27 ,BMW
12/27/22,$29.56 ,29401,$29.62 ,$29.68 ,$29.55 ,BMW
12/23/22,$29.55 ,42654,$29.51 ,$29.70 ,$29.43 ,BMW
12/22/22,$29.42 ,74463,$29.51 ,$29.51 ,$29.18 ,BMW
12/21/22,$29.62 ,56482,$29.68 ,$29.79 ,$29.58 ,BMW
12/20/22,$29.48 ,39964,$29.43 ,$29.63 ,$29.40 ,BMW
12/19/22,$29.43 ,39072,$29.59 ,$29.70 ,$29.38 ,BMW
12/16/22,$29.12 ,70929,$29.30 ,$29.37 ,$28.98 ,BMW
12/15/22,$29.40 ,27263,$29.58 ,$29.58 ,$29.20 ,BMW
12/14/22,$29.66 ,53165,$29.62 ,$29.96 ,$29.50 ,BMW
12/13/22,$29.68 ,51089,$30.29 ,$30.30 ,$29.54 ,BMW
12/12/22,$29.67 ,96706,$29.86 ,$29.86 ,$29.54 ,BMW
12/9/22,$29.55 ,104266,$29.61 ,$29.78 ,$29.42 ,BMW
