Date,Close/Last,Volume,Open,High,Low,Brand
5/9/23,$18.31 ,160019,$18.32 ,$18.38 ,$18.24 ,MERCEDES
5/8/23,$18.31 ,69278,$18.41 ,$18.41 ,$18.27 ,MERCEDES
5/5/23,$18.37 ,132841,$18.19 ,$18.41 ,$18.17 ,MERCEDES
5/4/23,$17.91 ,99848,$17.96 ,$17.98 ,$17.72 ,MERCEDES
5/3/23,$19.38 ,130184,$19.25 ,$19.51 ,$19.22 ,MERCEDES
5/2/23,$19.24 ,178776,$19.32 ,$19.47 ,$19.02 ,MERCEDES
5/1/23,$19.50 ,174619,$19.61 ,$19.80 ,$19.40 ,MERCEDES
4/28/23,$19.45 ,231423,$19.25 ,$19.47 ,$19.21 ,MERCEDES
4/27/23,$19.38 ,154669,$19.39 ,$19.44 ,$19.20 ,MERCEDES
4/26/23,$19.19 ,200554,$19.32 ,$19.36 ,$19.19 ,MERCEDES
4/25/23,$18.99 ,190499,$19.21 ,$19.21 ,$18.99 ,MERCEDES
4/24/23,$19.32 ,262952,$19.20 ,$19.32 ,$19.18 ,MERCEDES
4/21/23,$19.10 ,349709,$18.96 ,$19.10 ,$18.77 ,MERCEDES
4/20/23,$19.15 ,693486,$18.65 ,$19.36 ,$18.59 ,MERCEDES
4/19/23,$19.33 ,107630,$19.16 ,$19.34 ,$19.12 ,MERCEDES
4/18/23,$19.25 ,409424,$19.10 ,$19.27 ,$19.09 ,MERCEDES
4/17/23,$18.95 ,435187,$18.95 ,$18.98 ,$18.81 ,MERCEDES
4/14/23,$19.33 ,342418,$19.42 ,$19.46 ,$19.23 ,MERCEDES
4/13/23,$19.31 ,422996,$19.21 ,$19.31 ,$19.17 ,MERCEDES
4/12/23,$19.02 ,249207,$19.10 ,$19.13 ,$18.96 ,MERCEDES
4/11/23,$18.83 ,800764,$18.68 ,$18.85 ,$18.66 ,MERCEDES
4/10/23,$18.51 ,405838,$18.00 ,$18.55 ,$18.00 ,MERCEDES
4/6/23,$18.55 ,84505,$18.33 ,$18.58 ,$18.32 ,MERCEDES
4/5/23,$18.66 ,132491,$18.71 ,$18.77 ,$18.57 ,MERCEDES
4/4/23,$19.25 ,72002,$19.25 ,$19.32 ,$19.20 ,MERCEDES
4/3/23,$19.21 ,101617,$19.10 ,$19.21 ,$19.02 ,MERCEDES
3/31/23,$19.18 ,58323,$19.13 ,$19.25 ,$19.10 ,MERCEDES
3/30/23,$19.38 ,305350,$19.23 ,$19.38 ,$19.16 ,MERCEDES
3/29/23,$19.02 ,115469,$18.96 ,$19.07 ,$18.94 ,MERCEDES
3/28/23,$18.88 ,464783,$19.40 ,$19.48 ,$18.79 ,MERCEDES
3/27/23,$19.31 ,63882,$19.29 ,$19.32 ,$19.18 ,MERCEDES
3/24/23,$18.73 ,128654,$18.49 ,$18.80 ,$18.40 ,MERCEDES
3/23/23,$18.97 ,74190,$19.26 ,$19.34 ,$18.86 ,MERCEDES
3/22/23,$19.13 ,119736,$19.19 ,$19.44 ,$19.13 ,MERCEDES
3/21/23,$19.00 ,92121,$19.01 ,$19.05 ,$18.88 ,MERCEDES
3/20/23,$18.54 ,97612,$18.42 ,$18.60 ,$18.42 ,MERCEDES
3/17/23,$18.43 ,70732,$18.33 ,$18.49 ,$18.12 ,MERCEDES
3/16/23,$18.76 ,68272,$18.22 ,$18.77 ,$18.22 ,MERCEDES
3/15/23,$18.71 ,118412,$18.39 ,$18.77 ,$18.38 ,MERCEDES
3/14/23,$19.54 ,129331,$19.47 ,$19.54 ,$19.36 ,MERCEDES
3/13/23,$19.23 ,135410,$19.10 ,$19.32 ,$19.06 ,MERCEDES
3/10/23,$19.47 ,100363,$19.55 ,$19.68 ,$19.43 ,MERCEDES
3/9/23,$19.54 ,79464,$19.67 ,$19.81 ,$19.52 ,MERCEDES
3/8/23,$19.80 ,129755,$19.78 ,$19.90 ,$19.71 ,MERCEDES
3/7/23,$19.73 ,378643,$20.13 ,$20.13 ,$19.70 ,MERCEDES
3/6/23,$20.16 ,119180,$20.18 ,$20.24 ,$20.12 ,MERCEDES
3/3/23,$20.06 ,135627,$19.91 ,$20.11 ,$19.89 ,MERCEDES
3/2/23,$19.55 ,176831,$19.33 ,$19.60 ,$19.31 ,MERCEDES
3/1/23,$19.52 ,176881,$19.62 ,$19.67 ,$19.45 ,MERCEDES
2/28/23,$19.19 ,83230,$19.31 ,$19.34 ,$19.15 ,MERCEDES
2/27/23,$19.26 ,52355,$19.20 ,$19.27 ,$19.17 ,MERCEDES
2/24/23,$19.00 ,104931,$19.17 ,$19.17 ,$18.94 ,MERCEDES
2/23/23,$19.80 ,391295,$19.72 ,$19.80 ,$19.54 ,MERCEDES
2/22/23,$19.58 ,121688,$19.63 ,$19.73 ,$19.52 ,MERCEDES
2/21/23,$19.66 ,442241,$19.78 ,$19.92 ,$19.65 ,MERCEDES
2/17/23,$19.98 ,118016,$19.89 ,$20.02 ,$19.78 ,MERCEDES
2/16/23,$19.84 ,428152,$19.12 ,$19.84 ,$19.10 ,MERCEDES
2/15/23,$19.38 ,70224,$19.18 ,$19.38 ,$19.15 ,MERCEDES
2/14/23,$19.21 ,405230,$19.11 ,$19.37 ,$19.06 ,MERCEDES
2/13/23,$19.15 ,116567,$19.11 ,$19.17 ,$19.06 ,MERCEDES
2/10/23,$19.24 ,144379,$19.16 ,$19.24 ,$19.07 ,MERCEDES
2/9/23,$19.42 ,139018,$19.58 ,$19.65 ,$19.38 ,MERCEDES
2/8/23,$19.28 ,1072089,$19.37 ,$19.40 ,$19.14 ,MERCEDES
2/7/23,$19.41 ,133147,$19.22 ,$19.41 ,$19.08 ,MERCEDES
2/6/23,$19.24 ,841364,$19.25 ,$19.26 ,$19.10 ,MERCEDES
2/3/23,$19.33 ,371938,$19.44 ,$19.58 ,$19.31 ,MERCEDES
2/2/23,$19.64 ,854976,$19.60 ,$19.87 ,$19.54 ,MERCEDES
2/1/23,$19.23 ,331497,$18.82 ,$19.32 ,$18.81 ,MERCEDES
1/31/23,$18.54 ,70397,$18.36 ,$18.54 ,$18.32 ,MERCEDES
1/30/23,$18.29 ,212122,$18.40 ,$18.43 ,$18.23 ,MERCEDES
1/27/23,$18.72 ,107218,$18.58 ,$18.77 ,$18.58 ,MERCEDES
1/26/23,$18.60 ,113081,$18.54 ,$18.61 ,$18.47 ,MERCEDES
1/25/23,$18.50 ,89810,$18.31 ,$18.50 ,$18.27 ,MERCEDES
1/24/23,$18.42 ,454757,$18.20 ,$18.45 ,$18.15 ,MERCEDES
1/23/23,$18.29 ,292790,$18.06 ,$18.31 ,$18.06 ,MERCEDES
1/20/23,$17.96 ,126439,$17.72 ,$17.96 ,$17.67 ,MERCEDES
1/19/23,$17.83 ,192159,$17.79 ,$17.85 ,$17.64 ,MERCEDES
1/18/23,$18.09 ,73915,$18.36 ,$18.36 ,$18.05 ,MERCEDES
1/17/23,$18.10 ,76550,$18.14 ,$18.33 ,$18.04 ,MERCEDES
1/13/23,$18.21 ,73781,$18.12 ,$18.21 ,$18.06 ,MERCEDES
1/12/23,$18.68 ,78319,$18.54 ,$18.75 ,$18.37 ,MERCEDES
1/11/23,$18.34 ,95031,$18.33 ,$18.37 ,$18.25 ,MERCEDES
1/10/23,$18.23 ,178751,$18.14 ,$18.23 ,$18.05 ,MERCEDES
1/9/23,$17.90 ,130149,$18.01 ,$18.11 ,$17.90 ,MERCEDES
1/6/23,$17.72 ,250931,$17.24 ,$17.75 ,$17.17 ,MERCEDES
1/5/23,$17.46 ,66338,$17.46 ,$17.53 ,$17.40 ,MERCEDES
1/4/23,$17.44 ,157352,$17.38 ,$17.50 ,$17.35 ,MERCEDES
1/3/23,$16.88 ,202947,$17.01 ,$17.11 ,$16.80 ,MERCEDES
12/30/22,$16.35 ,120745,$16.46 ,$16.46 ,$16.23 ,MERCEDES
12/29/22,$16.46 ,72679,$16.36 ,$16.55 ,$16.36 ,MERCEDES
12/28/22,$16.19 ,199467,$16.31 ,$16.38 ,$16.15 ,MERCEDES
12/27/22,$16.41 ,98634,$16.35 ,$16.46 ,$16.34 ,MERCEDES
12/23/22,$16.24 ,86132,$16.17 ,$16.32 ,$16.12 ,MERCEDES
12/22/22,$16.15 ,107751,$16.28 ,$16.28 ,$16.00 ,MERCEDES
12/21/22,$16.57 ,79985,$16.51 ,$16.65 ,$16.48 ,MERCEDES
12/20/22,$16.40 ,102180,$16.41 ,$16.50 ,$16.35 ,MERCEDES
12/19/22,$16.51 ,123297,$16.61 ,$16.68 ,$16.45 ,MERCEDES
12/16/22,$16.43 ,245421,$16.46 ,$16.53 ,$16.31 ,MERCEDES
12/15/22,$16.46 ,200055,$16.88 ,$16.89 ,$16.41 ,MERCEDES
12/14/22,$17.08 ,76285,$17.09 ,$17.24 ,$16.96 ,MERCEDES
12/13/22,$17.06 ,118928,$17.45 ,$17.45 ,$16.97 ,MERCEDES
12/12/22,$16.91 ,88355,$16.92 ,$16.94 ,$16.78 ,MERCEDES
12/9/22,$16.95 ,173047,$16.92 ,$17.06 ,$16.90 ,MERCEDES
12/8/22,$16.64 ,134618,$16.52 ,$16.69 ,$16.44 ,MERCEDES
12/7/22,$16.58 ,83576,$16.67 ,$16.75 ,$16.53 ,MERCEDES
