Date,Close/Last,Volume,Open,High,Low
05/09/2023,$40.19,78975,$40.00,$40.30,$39.45
05/08/2023,$39.95,41442,$40.28,$40.379,$39.95
05/05/2023,$39.64,82429,$38.80,$39.75,$38.80
05/04/2023,$38.15,32718,$37.95,$38.25,$37.70
05/03/2023,$37.12,33314,$37.16,$37.75,$37.12
05/02/2023,$36.95,28333,$37.14,$37.16,$36.75
05/01/2023,$37.15,72625,$37.53,$37.53,$37.02
04/28/2023,$37.32,35135,$36.98,$37.45,$36.917
04/27/2023,$37.20,51855,$37.46,$37.47,$36.96
04/26/2023,$37.15,47756,$37.23,$37.39,$37.00
04/25/2023,$36.94,44388,$37.38,$37.38,$36.86
04/24/2023,$37.45,68333,$37.225,$37.505,$37.19
04/21/2023,$36.85,27880,$36.75,$36.98,$36.39
04/20/2023,$36.80,158150,$36.43,$37.12,$36.20
04/19/2023,$37.94,61122,$37.88,$38.1371,$37.75
04/18/2023,$38.08,113324,$37.89,$38.11,$37.88
04/17/2023,$37.67,75867,$37.30,$37.67,$37.2175
04/14/2023,$37.93,39005,$38.04,$38.22,$37.78
04/13/2023,$37.85,83573,$37.75,$38.02,$37.53
04/12/2023,$37.61,59812,$37.606,$37.79,$37.52
04/11/2023,$36.71,40533,$36.52,$36.77,$36.52
04/10/2023,$35.99,31244,$36.6014,$36.6014,$35.71
04/06/2023,$35.90,175338,$35.49,$36.01,$35.49
04/05/2023,$35.97,42437,$36.25,$36.25,$35.88
04/04/2023,$37.00,42777,$37.25,$37.36,$36.885
04/03/2023,$36.66,19657,$36.68,$36.79,$36.50
03/31/2023,$36.485,17292,$36.63,$36.633,$36.41
03/30/2023,$36.58,42082,$36.41,$36.605,$36.35
03/29/2023,$35.77,29263,$35.60,$35.81,$35.59
03/28/2023,$35.67,40260,$35.645,$35.86,$35.56
03/27/2023,$35.50,36767,$35.74,$35.74,$35.4185
03/24/2023,$35.13,32741,$34.88,$35.17,$34.70
03/23/2023,$35.38,33295,$35.59,$35.90,$35.255
03/22/2023,$35.20,46347,$35.36,$35.77,$35.20
03/21/2023,$35.11,52172,$34.95,$35.18,$34.85
03/20/2023,$34.29,61607,$33.90,$34.29,$33.90
03/17/2023,$33.64,65615,$33.50,$33.755,$33.237
03/16/2023,$34.02,50997,$33.30,$34.02,$33.2895
03/15/2023,$33.70,72830,$32.97,$33.75,$32.96
03/14/2023,$34.12,27865,$33.89,$34.177,$33.78
03/13/2023,$33.86,42359,$33.73,$33.965,$33.62
03/10/2023,$34.511,35506,$34.59,$34.94,$34.44
03/09/2023,$34.76,44988,$34.95,$35.178,$34.70
03/08/2023,$35.37,208377,$35.51,$35.73,$35.34
03/07/2023,$35.36,16107,$36.00,$36.00,$35.332
03/06/2023,$35.99,39635,$36.02,$36.125,$35.9501
03/03/2023,$36.02,38227,$35.91,$36.07,$35.64
03/02/2023,$35.14,37025,$34.76,$35.21,$34.75
03/01/2023,$35.26,28710,$35.48,$35.57,$35.188
02/28/2023,$34.41,23733,$34.87,$34.87,$34.39
02/27/2023,$34.72,52360,$34.69,$34.88,$34.60
02/24/2023,$34.20,24656,$34.50,$34.60,$34.125
02/23/2023,$35.32,19230,$35.20,$35.37,$35.03
02/22/2023,$34.745,43617,$34.84,$34.97,$34.66
02/21/2023,$35.01,43991,$35.05,$35.20,$34.89
02/17/2023,$35.605,29910,$35.339,$35.67,$35.23
02/16/2023,$35.18,32475,$35.00,$35.50,$34.92
02/15/2023,$35.43,18695,$35.13,$35.43,$35.07
02/14/2023,$35.15,30320,$34.85,$35.29,$34.77
02/13/2023,$34.91,60081,$34.90,$35.00,$34.795
02/10/2023,$34.855,25361,$34.89,$34.89,$34.6811
02/09/2023,$35.36,51773,$35.54,$35.66,$35.29
02/08/2023,$34.80,38749,$35.03,$35.09,$34.75
02/07/2023,$34.84,91500,$34.64,$35.01,$34.42
02/06/2023,$34.59,1088758,$34.74,$34.865,$34.52
02/03/2023,$34.97,178604,$35.22,$35.42,$34.92
02/02/2023,$35.51,149176,$35.49,$35.90,$35.2597
02/01/2023,$35.05,71143,$34.09,$35.15,$34.09
01/31/2023,$33.85,32624,$33.44,$33.85,$33.37
01/30/2023,$32.99,34934,$33.24,$33.31,$32.99
01/27/2023,$33.63,41841,$33.51,$33.75,$33.50
01/26/2023,$33.65,36868,$33.50,$33.65,$33.36
01/25/2023,$33.46,50847,$33.16,$33.505,$33.14
01/24/2023,$33.25,44910,$32.955,$33.41,$32.81
01/23/2023,$33.22,104006,$32.83,$33.28,$32.81
01/20/2023,$32.69,97638,$32.39,$32.69,$32.25
01/19/2023,$32.65,71450,$32.46,$32.70,$32.38
01/18/2023,$32.83,71782,$33.25,$33.30,$32.73
01/17/2023,$33.09,75951,$33.09,$33.37,$33.00
01/13/2023,$33.21,60146,$32.97,$33.225,$32.90
01/12/2023,$33.76,55742,$33.53,$33.82,$33.22
01/11/2023,$32.97,352637,$32.75,$33.02,$32.67
01/10/2023,$32.48,47201,$32.42,$32.51,$32.16
01/09/2023,$31.91,145402,$32.11,$32.36,$31.91
01/06/2023,$31.84,35521,$30.929,$31.91,$30.86
01/05/2023,$31.21,45403,$31.19,$31.32,$31.14
01/04/2023,$30.95,63223,$30.942,$31.09,$30.77
01/03/2023,$30.24,47469,$30.38,$30.46,$30.075
12/30/2022,$29.66,41317,$29.77,$29.77,$29.45
12/29/2022,$29.80,39699,$29.62,$29.84,$29.62
12/28/2022,$29.29,36715,$29.56,$29.5601,$29.27
12/27/2022,$29.56,29401,$29.62,$29.68,$29.55
12/23/2022,$29.55,42654,$29.51,$29.70,$29.4255
12/22/2022,$29.42,74463,$29.51,$29.51,$29.18
12/21/2022,$29.62,56482,$29.68,$29.79,$29.58
12/20/2022,$29.48,39964,$29.43,$29.63,$29.40
12/19/2022,$29.43,39072,$29.59,$29.70,$29.38
12/16/2022,$29.12,70929,$29.30,$29.37,$28.98
12/15/2022,$29.40,27263,$29.58,$29.58,$29.20
12/14/2022,$29.66,53165,$29.62,$29.96,$29.50
12/13/2022,$29.68,51089,$30.29,$30.30,$29.54
12/12/2022,$29.67,96706,$29.86,$29.86,$29.54
12/09/2022,$29.55,104266,$29.61,$29.7825,$29.42
12/08/2022,$29.25,28971,$29.19,$29.28,$28.96
12/07/2022,$29.72,28406,$29.82,$29.90,$29.554
12/06/2022,$29.65,61835,$30.2489,$30.2489,$29.515
12/05/2022,$29.98,32094,$30.28,$30.3585,$29.93
12/02/2022,$30.05,41695,$29.83,$30.11,$29.74
12/01/2022,$29.90,74076,$30.00,$30.15,$29.69
11/30/2022,$30.30,39530,$29.75,$30.32,$29.50
11/29/2022,$29.33,34479,$29.09,$29.44,$29.09
11/28/2022,$28.75,25127,$29.00,$29.17,$28.69
11/25/2022,$29.24,14490,$29.12,$29.24,$28.9418
11/23/2022,$29.115,49032,$28.75,$29.24,$28.75
11/22/2022,$29.08,35196,$28.73,$29.08,$28.71
11/21/2022,$28.68,38547,$28.79,$28.79,$28.535
11/18/2022,$29.00,23610,$28.948,$29.105,$28.85
11/17/2022,$28.63,34676,$28.32,$28.63,$28.23
11/16/2022,$28.635,22910,$28.61,$28.75,$28.35
11/15/2022,$29.22,58047,$29.60,$29.60,$28.75
11/14/2022,$29.20,33880,$29.33,$29.577,$29.19
11/11/2022,$29.285,31815,$28.82,$29.36,$28.755
11/10/2022,$28.28,39220,$27.67,$28.28,$27.67
11/09/2022,$26.61,37805,$26.76,$26.98,$26.60
11/08/2022,$27.03,44944,$26.9801,$27.1555,$26.83
11/07/2022,$27.08,53930,$26.92,$27.211,$26.86
11/04/2022,$26.59,94368,$26.06,$26.59,$25.98
11/03/2022,$24.85,55152,$24.76,$25.1399,$24.57
11/02/2022,$26.30,46342,$26.34,$26.89,$26.19
11/01/2022,$26.55,97606,$26.79,$26.90,$26.31
10/31/2022,$26.27,52374,$26.24,$26.49,$26.17
10/28/2022,$26.64,50134,$26.45,$26.68,$26.346
10/27/2022,$26.55,29007,$26.615,$26.77,$26.42
10/26/2022,$26.56,52278,$26.32,$26.70,$26.23
10/25/2022,$26.18,94654,$25.79,$26.18,$25.79
10/24/2022,$25.78,65699,$25.728,$25.94,$25.58
10/21/2022,$25.80,43182,$25.16,$25.87,$25.04
10/20/2022,$25.18,80593,$25.539,$25.74,$25.15
10/19/2022,$25.46,138282,$25.38,$25.53,$25.25
10/18/2022,$25.69,139593,$25.87,$25.905,$25.38
10/17/2022,$25.18,105207,$25.06,$25.20,$25.01
10/14/2022,$24.33,92935,$24.6801,$24.7601,$24.23
10/13/2022,$24.582,145215,$23.41,$24.66,$23.32
10/12/2022,$23.68,105466,$23.56,$23.781,$23.48
10/11/2022,$23.35,258449,$23.25,$23.7425,$23.06
10/10/2022,$23.52,115264,$23.468,$23.71,$23.25
10/07/2022,$23.30,115579,$23.51,$23.60,$23.14
10/06/2022,$23.606,83147,$23.65,$23.79,$23.50
10/05/2022,$23.77,129053,$23.35,$23.92,$23.23
10/04/2022,$24.35,381207,$23.82,$24.35,$23.82
10/03/2022,$23.27,208256,$23.01,$23.30,$22.85
09/30/2022,$22.635,204569,$22.49,$22.95,$22.4899
09/29/2022,$22.78,451498,$22.62,$22.78,$22.265
09/28/2022,$23.56,146974,$22.84,$23.56,$22.84
09/27/2022,$22.89,373844,$23.19,$23.34,$22.71
09/26/2022,$23.10,240373,$23.22,$23.61,$23.02
09/23/2022,$23.22,195733,$23.45,$23.47,$23.03
09/22/2022,$24.61,69009,$24.43,$24.61,$24.20
09/21/2022,$24.76,167152,$24.71,$25.11,$24.43
09/20/2022,$24.89,122871,$25.25,$25.2699,$24.58
09/19/2022,$25.40,218658,$24.8199,$25.43,$24.7525
09/16/2022,$24.98,118424,$24.55,$24.98,$24.49
09/15/2022,$24.85,81726,$24.66,$25.03,$24.55
09/14/2022,$24.92,254256,$24.74,$24.94,$24.585
09/13/2022,$24.65,180456,$25.20,$25.45,$24.65
09/12/2022,$25.57,212221,$25.48,$25.65,$25.38
09/09/2022,$24.83,402374,$24.64,$24.86,$24.56
09/08/2022,$24.27,209191,$24.11,$24.29,$23.85
09/07/2022,$24.83,180858,$24.16,$24.84,$24.16
09/06/2022,$23.86,138624,$24.16,$24.16,$23.81
09/02/2022,$24.14,126716,$25.00,$25.13,$24.00
09/01/2022,$24.44,133083,$24.24,$24.44,$23.949
08/31/2022,$24.53,127137,$24.57,$24.72,$24.45
08/30/2022,$24.52,489117,$24.93,$24.93,$24.41
08/29/2022,$24.51,237532,$24.37,$24.63,$24.34
08/26/2022,$24.19,125805,$25.16,$25.16,$24.10
08/25/2022,$24.945,139178,$24.71,$24.97,$24.597
08/24/2022,$24.69,111753,$24.50,$24.88,$24.41
08/23/2022,$24.78,275150,$24.689,$24.96,$24.64
08/22/2022,$24.18,336258,$24.57,$24.60,$24.13
08/19/2022,$25.51,98515,$25.72,$25.73,$25.40
