Date,Close/Last,Volume,Open,High,Low
05/09/2023,$16.30,3941859,$16.28,$16.408,$16.25
05/08/2023,$16.41,3359904,$16.37,$16.445,$16.30
05/05/2023,$16.30,5411059,$16.12,$16.36,$16.0644
05/04/2023,$15.87,5655660,$15.75,$15.93,$15.625
05/03/2023,$15.89,6814971,$15.92,$16.1178,$15.85
05/02/2023,$16.33,6124851,$16.45,$16.48,$16.13
05/01/2023,$16.65,3831617,$16.66,$16.885,$16.62
04/28/2023,$16.63,4555535,$16.23,$16.645,$16.22
04/27/2023,$16.42,6470386,$16.30,$16.4751,$16.21
04/26/2023,$16.11,5396761,$16.23,$16.275,$16.06
04/25/2023,$16.08,6544047,$16.32,$16.33,$16.04
04/24/2023,$16.42,7348727,$16.45,$16.505,$16.365
04/21/2023,$17.68,7323868,$17.52,$17.68,$17.37
04/20/2023,$17.71,10768880,$17.62,$17.725,$17.44
04/19/2023,$18.51,5773751,$18.60,$18.64,$18.43
04/18/2023,$18.77,4595202,$18.71,$18.805,$18.65
04/17/2023,$18.67,6268159,$18.66,$18.71,$18.54
04/14/2023,$18.86,4516056,$18.87,$18.9651,$18.775
04/13/2023,$18.70,5999118,$18.71,$18.8061,$18.55
04/12/2023,$18.40,4679525,$18.58,$18.63,$18.35
04/11/2023,$18.25,4457858,$18.20,$18.40,$18.18
04/10/2023,$17.84,2935093,$17.65,$17.85,$17.56
04/06/2023,$17.65,3518796,$17.53,$17.82,$17.47
04/05/2023,$17.58,3520789,$17.77,$17.78,$17.505
04/04/2023,$17.98,4481482,$18.31,$18.31,$17.86
04/03/2023,$18.17,4762058,$18.24,$18.34,$18.07
03/31/2023,$18.19,3713823,$18.09,$18.27,$18.07
03/30/2023,$18.01,3584612,$18.05,$18.11,$17.97
03/29/2023,$17.77,3195185,$17.69,$17.81,$17.67
03/28/2023,$17.59,3194698,$17.61,$17.67,$17.55
03/27/2023,$17.56,3274426,$17.50,$17.645,$17.40
03/24/2023,$17.25,3945843,$17.09,$17.26,$16.9512
03/23/2023,$17.36,4240493,$17.56,$17.71,$17.175
03/22/2023,$17.31,3762454,$17.54,$17.685,$17.30
03/21/2023,$17.42,4638147,$17.53,$17.585,$17.42
03/20/2023,$16.96,7153075,$16.95,$17.14,$16.90
03/17/2023,$16.79,6207760,$16.85,$16.855,$16.54
03/16/2023,$17.12,5691595,$16.54,$17.12,$16.495
03/15/2023,$16.87,10241780,$16.63,$16.8899,$16.5415
03/14/2023,$17.53,8088631,$17.49,$17.63,$17.39
03/13/2023,$17.35,7881618,$17.28,$17.5001,$17.15
03/10/2023,$17.60,6963951,$17.88,$18.01,$17.55
03/09/2023,$17.97,4756420,$18.24,$18.33,$17.95
03/08/2023,$18.51,3559148,$18.50,$18.5799,$18.392
03/07/2023,$18.43,4817432,$18.79,$18.82,$18.41
03/06/2023,$18.65,4683324,$18.83,$18.83,$18.635
03/03/2023,$18.83,7643875,$18.75,$18.86,$18.66
03/02/2023,$18.35,5097864,$18.11,$18.38,$18.09
03/01/2023,$18.26,8047825,$18.27,$18.36,$18.16
02/28/2023,$17.52,5638241,$17.65,$17.76,$17.50
02/27/2023,$17.61,6180592,$17.59,$17.755,$17.56
02/24/2023,$17.57,8537043,$17.38,$17.58,$17.26
02/23/2023,$18.02,11726400,$17.95,$18.125,$17.67
02/22/2023,$17.27,9501179,$17.14,$17.495,$17.14
02/21/2023,$16.66,6751025,$16.95,$16.9964,$16.65
02/17/2023,$17.29,6618174,$16.98,$17.29,$16.8801
02/16/2023,$16.94,4418801,$16.83,$17.125,$16.83
02/15/2023,$17.01,4086673,$16.81,$17.07,$16.81
02/14/2023,$16.81,3981824,$16.66,$16.915,$16.635
02/13/2023,$16.67,3231364,$16.52,$16.71,$16.47
02/10/2023,$16.40,5103042,$16.58,$16.58,$16.345
02/09/2023,$16.75,8500537,$16.80,$16.93,$16.73
02/08/2023,$16.18,3724659,$16.30,$16.38,$16.16
02/07/2023,$16.27,4834096,$16.16,$16.31,$16.0299
02/06/2023,$16.17,4661283,$16.18,$16.22,$15.994
02/03/2023,$16.33,5478040,$16.34,$16.6057,$16.27
02/02/2023,$16.60,6898746,$16.33,$16.72,$16.22
02/01/2023,$16.08,6263390,$15.79,$16.18,$15.78
01/31/2023,$15.72,5840349,$15.34,$15.73,$15.32
01/30/2023,$15.10,6570367,$15.32,$15.36,$15.085
01/27/2023,$15.54,5385225,$15.33,$15.60,$15.32
01/26/2023,$15.39,4158486,$15.36,$15.40,$15.235
01/25/2023,$15.25,3917374,$15.05,$15.32,$15.02
01/24/2023,$15.23,3291154,$15.13,$15.2699,$15.05
01/23/2023,$15.28,4586989,$15.14,$15.35,$15.10
01/20/2023,$15.20,4852703,$15.03,$15.24,$14.98
01/19/2023,$15.13,4132389,$15.10,$15.17,$14.9801
01/18/2023,$15.28,3995902,$15.67,$15.695,$15.27
01/17/2023,$15.45,4135161,$15.44,$15.615,$15.404
01/13/2023,$15.42,4882964,$15.32,$15.43,$15.29
01/12/2023,$16.03,5612449,$15.92,$16.085,$15.78
01/11/2023,$15.80,3526944,$15.82,$15.85,$15.68
01/10/2023,$15.87,5060050,$15.78,$15.87,$15.675
01/09/2023,$15.62,7173708,$15.64,$15.735,$15.57
01/06/2023,$15.45,5227083,$15.05,$15.50,$15.01
01/05/2023,$15.17,4698894,$15.10,$15.24,$15.05
01/04/2023,$15.06,5575196,$14.95,$15.12,$14.825
01/03/2023,$14.59,5361447,$14.66,$14.7569,$14.485
12/30/2022,$14.20,4211377,$14.24,$14.31,$14.16
12/29/2022,$14.34,4721217,$14.14,$14.35,$14.13
12/28/2022,$13.85,5638672,$14.04,$14.10,$13.84
12/27/2022,$14.00,3001263,$13.98,$14.045,$13.95
12/23/2022,$14.05,4230859,$13.96,$14.08,$13.90
12/22/2022,$13.88,5846569,$14.07,$14.08,$13.7147
12/21/2022,$14.33,4149432,$14.25,$14.40,$14.215
12/20/2022,$14.07,4093316,$14.06,$14.125,$14.01
12/19/2022,$14.21,3846315,$14.27,$14.305,$14.14
12/16/2022,$14.14,5422078,$14.30,$14.355,$14.115
12/15/2022,$14.44,5447310,$14.54,$14.545,$14.345
12/14/2022,$14.71,6183290,$14.76,$14.84,$14.565
12/13/2022,$14.64,8477716,$14.98,$14.99,$14.515
12/12/2022,$14.58,5608714,$14.51,$14.61,$14.42
12/09/2022,$14.44,7766792,$14.41,$14.55,$14.335
12/08/2022,$14.84,5272828,$15.05,$15.05,$14.80
12/07/2022,$15.21,4891447,$15.20,$15.295,$15.1247
12/06/2022,$15.17,4839385,$15.33,$15.39,$15.00
12/05/2022,$15.25,5142204,$15.44,$15.47,$15.22
12/02/2022,$15.37,4926257,$15.38,$15.445,$15.2992
12/01/2022,$15.72,5118732,$15.73,$15.87,$15.61
11/30/2022,$15.62,7217279,$15.39,$15.63,$15.2544
11/29/2022,$15.21,4881785,$15.09,$15.29,$15.08
11/28/2022,$15.04,3940306,$15.12,$15.22,$15.005
11/25/2022,$15.21,2063912,$15.07,$15.25,$15.07
11/23/2022,$15.04,4603764,$14.98,$15.08,$14.905
11/22/2022,$15.19,3668975,$15.02,$15.20,$15.01
11/21/2022,$14.91,4242346,$14.85,$14.96,$14.79
11/18/2022,$14.93,4804714,$14.91,$14.97,$14.775
11/17/2022,$14.75,5956527,$14.52,$14.7799,$14.51
11/16/2022,$14.83,7224452,$14.79,$14.88,$14.71
11/15/2022,$14.87,6897344,$15.12,$15.16,$14.67
11/14/2022,$14.80,6028825,$14.87,$15.0102,$14.785
11/11/2022,$14.87,6892373,$14.58,$14.95,$14.52
11/10/2022,$14.46,6825194,$14.20,$14.46,$14.13
11/09/2022,$13.59,6302878,$13.64,$13.829,$13.58
11/08/2022,$13.80,8459216,$13.73,$13.85,$13.6531
11/07/2022,$13.80,5769681,$13.75,$13.8499,$13.615
11/04/2022,$13.54,10135700,$13.31,$13.605,$13.24
11/03/2022,$12.91,11610000,$12.87,$13.055,$12.79
11/02/2022,$13.37,12782210,$13.64,$13.80,$13.315
11/01/2022,$13.73,8426257,$13.84,$13.87,$13.525
10/31/2022,$13.52,6216390,$13.37,$13.56,$13.36
10/28/2022,$13.57,4822462,$13.40,$13.59,$13.3902
10/27/2022,$13.55,5364360,$13.57,$13.7299,$13.515
10/26/2022,$13.62,5576729,$13.56,$13.78,$13.505
10/25/2022,$13.44,5467558,$13.32,$13.53,$13.32
10/24/2022,$13.41,7300027,$13.27,$13.45,$13.18
10/21/2022,$13.04,5864540,$12.65,$13.05,$12.60
10/20/2022,$12.76,5415312,$12.85,$13.015,$12.70
10/19/2022,$12.66,5949409,$12.78,$12.84,$12.53
10/18/2022,$12.92,9586081,$13.05,$13.09,$12.75
10/17/2022,$12.57,6569095,$12.52,$12.635,$12.4819
10/14/2022,$12.10,6997176,$12.36,$12.40,$12.08
10/13/2022,$12.30,7600032,$11.64,$12.3499,$11.572
10/12/2022,$11.77,6275929,$11.81,$11.92,$11.73
10/11/2022,$11.81,7033351,$11.75,$12.075,$11.655
10/10/2022,$11.86,8447708,$12.00,$12.005,$11.7542
10/07/2022,$11.93,7648353,$12.12,$12.14,$11.85
10/06/2022,$12.29,7548370,$12.37,$12.4482,$12.26
10/05/2022,$12.55,6505219,$12.34,$12.62,$12.1932
10/04/2022,$12.88,7259195,$12.62,$12.935,$12.62
10/03/2022,$12.23,10162520,$12.08,$12.38,$11.93
09/30/2022,$11.84,11057120,$11.81,$12.06,$11.7712
09/29/2022,$11.98,8004575,$12.00,$12.05,$11.73
09/28/2022,$12.58,8361368,$12.21,$12.65,$12.14
09/27/2022,$12.31,8687930,$12.42,$12.50,$12.155
09/26/2022,$12.24,9796701,$12.29,$12.53,$12.1708
09/23/2022,$12.16,10713240,$12.33,$12.335,$11.995
09/22/2022,$12.78,8155936,$12.98,$13.03,$12.74
09/21/2022,$13.00,8409279,$13.13,$13.385,$12.99
09/20/2022,$13.13,8258977,$13.32,$13.33,$13.045
09/19/2022,$13.61,6686730,$13.22,$13.64,$13.20
09/16/2022,$13.47,8519100,$13.44,$13.57,$13.365
09/15/2022,$13.54,6613292,$13.54,$13.78,$13.505
09/14/2022,$13.62,5110017,$13.57,$13.73,$13.45
09/13/2022,$13.41,6321971,$13.63,$13.84,$13.37
09/12/2022,$13.93,6654191,$13.84,$13.98,$13.795
09/09/2022,$13.41,5564938,$13.31,$13.43,$13.30
09/08/2022,$13.07,4805557,$12.87,$13.09,$12.83
09/07/2022,$13.24,4712890,$12.78,$13.25,$12.77
09/06/2022,$12.80,9013253,$12.83,$12.93,$12.695
09/02/2022,$13.09,10443780,$13.47,$13.5699,$13.01
09/01/2022,$13.27,7050196,$13.19,$13.285,$12.995
08/31/2022,$13.40,5344225,$13.50,$13.54,$13.355
08/30/2022,$13.63,4333923,$13.86,$13.895,$13.51
08/29/2022,$13.81,4100299,$13.72,$13.905,$13.69
08/26/2022,$13.61,4909387,$14.19,$14.20,$13.60
08/25/2022,$14.18,3278479,$13.97,$14.19,$13.935
08/24/2022,$14.07,2942963,$13.89,$14.18,$13.86
08/23/2022,$14.01,4307331,$13.88,$14.1085,$13.87
08/22/2022,$13.66,4895921,$13.83,$13.85,$13.6415
08/19/2022,$14.53,3612618,$14.66,$14.695,$14.48
08/18/2022,$15.08,2069376,$15.04,$15.11,$14.95
08/17/2022,$14.99,3782218,$14.99,$15.095,$14.83
08/16/2022,$15.28,3373016,$15.08,$15.295,$15.07
08/15/2022,$15.27,2562621,$15.01,$15.30,$15.00
08/12/2022,$15.43,3454104,$15.27,$15.43,$15.20
08/11/2022,$15.21,3711500,$15.23,$15.28,$15.14
08/10/2022,$15.07,3911917,$15.05,$15.215,$15.015
08/09/2022,$14.72,3693608,$14.90,$14.91,$14.6501
08/08/2022,$15.09,6639770,$14.86,$15.13,$14.85
08/05/2022,$14.62,2790186,$14.52,$14.7087,$14.515
08/04/2022,$14.61,4168968,$14.65,$14.78,$14.58
08/03/2022,$14.73,5286100,$14.34,$14.76,$14.34
08/02/2022,$14.55,6439921,$14.50,$14.71,$14.415
08/01/2022,$14.62,5851023,$14.48,$14.655,$14.415
07/29/2022,$14.38,5678698,$14.12,$14.39,$14.01
07/28/2022,$14.00,10024290,$13.79,$14.01,$13.665
07/27/2022,$13.39,4741834,$13.06,$13.40,$12.995
07/26/2022,$12.85,2333353,$12.89,$13.01,$12.82
07/25/2022,$13.08,3900539,$13.14,$13.23,$13.04
07/22/2022,$12.85,4882139,$12.88,$12.985,$12.75
07/21/2022,$13.00,5810066,$12.63,$13.01,$12.61
07/20/2022,$12.80,4275459,$12.85,$12.975,$12.67
07/19/2022,$13.04,9584111,$12.66,$13.13,$12.64
07/18/2022,$12.26,4206209,$12.39,$12.46,$12.19
07/15/2022,$12.09,5304449,$11.98,$12.14,$11.845
07/14/2022,$11.81,8409553,$11.71,$11.82,$11.455
07/13/2022,$12.18,4769545,$11.93,$12.21,$11.875
07/12/2022,$12.27,4761216,$12.17,$12.4287,$12.16
07/11/2022,$12.19,6365139,$12.45,$12.45,$12.19
07/08/2022,$12.61,6102559,$12.59,$12.6999,$12.45
07/07/2022,$12.29,5903903,$12.05,$12.31,$12.04
07/06/2022,$11.57,5969165,$11.52,$11.60,$11.37
07/05/2022,$11.71,6356741,$11.57,$11.7299,$11.4701
07/01/2022,$12.40,5892000,$12.14,$12.425,$12.045
06/30/2022,$12.36,8287979,$12.32,$12.465,$12.12
06/29/2022,$12.69,7848276,$12.85,$12.86,$12.63
06/28/2022,$12.84,7611949,$13.30,$13.45,$12.835
06/27/2022,$13.09,4542981,$13.14,$13.205,$13.01
06/24/2022,$13.25,4379274,$12.85,$13.25,$12.8301
06/23/2022,$12.89,4562286,$13.07,$13.09,$12.68
06/22/2022,$13.14,5666869,$13.03,$13.34,$13.00
06/21/2022,$13.42,3980497,$13.38,$13.486,$13.30
06/17/2022,$12.90,6074954,$12.86,$12.955,$12.68
06/16/2022,$12.69,8865847,$12.85,$12.89,$12.555
06/15/2022,$13.52,5719506,$13.31,$13.595,$13.1926
06/14/2022,$12.97,4477407,$13.07,$13.15,$12.83
06/13/2022,$13.00,6489241,$13.16,$13.26,$12.895
06/10/2022,$13.64,4850807,$13.80,$13.915,$13.6033
06/09/2022,$14.40,3754312,$14.69,$14.80,$14.39
06/08/2022,$14.93,3378941,$15.03,$15.105,$14.86
06/07/2022,$14.95,3122825,$14.73,$14.975,$14.7024
06/06/2022,$15.01,4656155,$15.06,$15.14,$14.91
06/03/2022,$14.79,3816042,$14.88,$14.93,$14.725
06/02/2022,$15.34,5270451,$15.26,$15.45,$15.19
06/01/2022,$15.20,5214116,$15.45,$15.47,$15.035
05/31/2022,$15.10,7249626,$14.94,$15.17,$14.76
05/27/2022,$14.80,4846332,$14.76,$14.86,$14.69
