Date,Close/Last,Volume,Open,High,Low
05/09/2023,$1.02,10608,$1.02,$1.03,$1.01
05/08/2023,$1.02,23868,$1.01,$1.03,$1.01
05/05/2023,$1.02,9628,$1.01,$1.0202,$1.01
05/04/2023,$1.02,21342,$1.02,$1.04,$1.02
05/03/2023,$1.02,41917,$1.02,$1.0449,$1.01
05/02/2023,$1.01,13259,$1.00,$1.03,$1.00
05/01/2023,$1.01,48061,$1.02,$1.04,$1.00
04/28/2023,$1.02,11343,$1.06,$1.06,$1.01
04/27/2023,$1.03,7226,$1.03,$1.04,$1.03
04/26/2023,$1.02,7819,$1.0476,$1.0476,$1.01
04/25/2023,$1.02,7099,$1.02,$1.0299,$1.019
04/24/2023,$1.04,7350,$1.03,$1.0592,$1.03
04/21/2023,$1.04,6421,$1.04,$1.06,$1.03
04/20/2023,$1.05,24804,$1.05,$1.0561,$1.00
04/19/2023,$1.05,19571,$1.07,$1.0702,$1.05
04/18/2023,$1.07,11705,$1.12,$1.12,$1.07
04/17/2023,$1.09,6424,$1.12,$1.12,$1.09
04/14/2023,$1.10,6588,$1.14,$1.15,$1.10
04/13/2023,$1.17,10865,$1.20,$1.21,$1.15
04/12/2023,$1.21,39821,$1.15,$1.21,$1.14
04/11/2023,$1.15,7314,$1.12,$1.17,$1.12
04/10/2023,$1.15,10233,$1.12,$1.18,$1.12
04/06/2023,$1.16,39491,$1.15,$1.1999,$1.15
04/05/2023,$1.14,28590,$1.14,$1.161,$1.13
04/04/2023,$1.1407,17718,$1.15,$1.16,$1.14
04/03/2023,$1.15,56745,$1.14,$1.1736,$1.1101
03/31/2023,$1.115,34561,$1.10,$1.12,$1.085
03/30/2023,$1.07,11517,$1.04,$1.07,$1.0235
03/29/2023,$1.05,17466,$1.04,$1.06,$1.03
03/28/2023,$1.02,28348,$1.00,$1.06,$0.95
03/27/2023,$1.01,17468,$1.01,$1.05,$1.01
03/24/2023,$1.05,13304,$1.03,$1.05,$1.00
03/23/2023,$1.0299,36409,$1.0427,$1.0427,$1.0019
03/22/2023,$1.0101,17228,$1.00,$1.04,$1.00
03/21/2023,$1.01,35755,$1.03,$1.03,$1.00
03/20/2023,$1.01,39555,$1.04,$1.0401,$1.00
03/17/2023,$1.05,15394,$1.04,$1.09,$1.04
