Date,Close/Last,Volume,Open,High,Low
05/09/2023,$33.28,11841910,$33.32,$33.57,$33.06
05/08/2023,$33.66,11267410,$33.39,$33.74,$33.13
05/05/2023,$33.26,17191050,$32.32,$33.395,$32.21
05/04/2023,$31.69,14807410,$32.30,$32.67,$31.56
05/03/2023,$32.48,13494380,$32.76,$33.39,$32.37
05/02/2023,$33.08,14527640,$33.20,$33.41,$32.51
05/01/2023,$33.48,16892300,$34.00,$34.2796,$33.435
04/28/2023,$33.04,15510700,$32.42,$33.30,$32.41
04/27/2023,$32.72,19730070,$32.36,$32.82,$31.835
04/26/2023,$32.22,18780860,$32.90,$33.12,$32.08
04/25/2023,$32.91,34044430,$33.99,$34.08,$32.68
04/24/2023,$34.29,16836770,$33.77,$34.40,$33.56
04/21/2023,$33.55,12358740,$33.53,$33.77,$32.97
04/20/2023,$33.54,15294820,$33.28,$33.73,$32.84
04/19/2023,$34.58,11002270,$34.87,$34.88,$34.22
04/18/2023,$35.33,9444629,$35.45,$35.57,$35.07
04/17/2023,$35.14,10248860,$34.38,$35.15,$34.33
04/14/2023,$34.49,9162851,$34.75,$35.29,$34.25
04/13/2023,$34.53,16066190,$34.56,$34.69,$33.72
04/12/2023,$34.62,12027410,$35.99,$36.06,$34.525
04/11/2023,$35.41,16410480,$35.88,$35.965,$35.34
04/10/2023,$35.73,11530440,$34.35,$35.74,$34.26
04/06/2023,$34.59,10068150,$35.00,$35.09,$34.47
04/05/2023,$35.09,10949440,$35.27,$35.38,$34.40
04/04/2023,$35.74,11279950,$36.51,$36.54,$35.29
04/03/2023,$36.27,10887920,$36.38,$36.815,$35.995
03/31/2023,$36.68,10872660,$36.27,$36.72,$36.13
03/30/2023,$35.99,9300180,$36.25,$36.48,$35.865
03/29/2023,$35.70,13290050,$34.89,$35.73,$34.71
03/28/2023,$34.22,12214220,$34.46,$34.65,$34.05
03/27/2023,$34.45,11318410,$34.32,$34.54,$33.7524
03/24/2023,$33.71,11914350,$33.46,$33.78,$32.985
03/23/2023,$33.74,12585430,$34.37,$34.7603,$33.175
03/22/2023,$34.05,12929700,$35.13,$35.32,$34.03
03/21/2023,$35.10,13685140,$34.63,$35.32,$34.46
03/20/2023,$33.62,14938790,$33.45,$34.25,$33.2674
03/17/2023,$33.38,27743510,$34.28,$34.28,$33.12
03/16/2023,$34.61,23888080,$33.85,$34.92,$33.76
03/15/2023,$34.33,17992060,$34.61,$34.62,$33.63
03/14/2023,$35.60,18938240,$36.46,$36.67,$35.075
03/13/2023,$35.76,21584240,$35.62,$36.31,$34.86
03/10/2023,$36.52,14139400,$37.70,$37.775,$36.26
03/09/2023,$37.82,15604070,$39.52,$39.70,$37.76
03/08/2023,$39.76,10674830,$39.70,$40.02,$39.37
03/07/2023,$39.74,12126940,$40.22,$40.43,$39.62
03/06/2023,$40.45,9809967,$41.02,$41.19,$40.2519
03/03/2023,$41.01,13429740,$40.39,$41.35,$40.25
03/02/2023,$39.53,12914270,$38.405,$39.56,$38.12
03/01/2023,$38.72,14164840,$38.68,$39.33,$38.64
02/28/2023,$38.74,17166700,$39.21,$39.245,$38.495
02/27/2023,$39.31,17310620,$39.53,$40.01,$39.14
