Date,Close/Last,Volume,Open,High,Low
05/09/2023,$26.97,834411,$26.96,$26.99,$26.81
05/08/2023,$26.79,648801,$26.80,$26.85,$26.695
05/05/2023,$26.75,869658,$26.25,$26.78,$26.15
05/04/2023,$26.03,944702,$26.08,$26.2099,$26.02
05/03/2023,$26.19,848427,$26.20,$26.42,$26.12
05/02/2023,$26.17,742178,$26.23,$26.235,$25.925
05/01/2023,$26.39,1017373,$26.60,$26.70,$26.355
04/28/2023,$26.58,980177,$26.32,$26.59,$26.275
04/27/2023,$26.49,1264250,$26.11,$26.495,$26.11
04/26/2023,$25.80,1182749,$25.92,$26.05,$25.76
04/25/2023,$25.87,1020012,$26.10,$26.13,$25.745
04/24/2023,$26.15,860286,$25.87,$26.18,$25.86
04/21/2023,$25.92,683038,$25.97,$25.99,$25.78
04/20/2023,$25.96,966926,$25.99,$26.11,$25.835
04/19/2023,$26.18,628477,$26.24,$26.2433,$26.145
04/18/2023,$26.38,752668,$26.45,$26.515,$26.31
04/17/2023,$26.40,1108820,$26.18,$26.40,$26.10
04/14/2023,$26.10,1148809,$26.19,$26.29,$26.055
04/13/2023,$26.57,702741,$26.62,$26.63,$26.395
04/12/2023,$26.44,719255,$26.58,$26.675,$26.36
04/11/2023,$26.52,769005,$26.55,$26.60,$26.49
04/10/2023,$26.36,1553719,$26.05,$26.38,$26.05
04/06/2023,$26.13,797036,$26.29,$26.3003,$26.0831
04/05/2023,$26.58,847087,$26.64,$26.66,$26.445
04/04/2023,$26.92,997837,$26.995,$27.08,$26.77
04/03/2023,$26.79,893541,$26.67,$26.79,$26.575
03/31/2023,$26.49,762374,$26.41,$26.50,$26.34
03/30/2023,$26.22,710272,$26.34,$26.3808,$26.145
03/29/2023,$26.13,898597,$26.15,$26.17,$25.985
03/28/2023,$25.86,749577,$25.80,$25.935,$25.80
03/27/2023,$25.87,578009,$25.88,$25.965,$25.75
03/24/2023,$25.70,761024,$25.63,$25.705,$25.4225
03/23/2023,$25.64,895503,$25.86,$25.95,$25.48
03/22/2023,$25.53,968118,$25.67,$25.94,$25.51
03/21/2023,$25.53,916737,$25.55,$25.615,$25.40
03/20/2023,$25.25,1598385,$25.04,$25.355,$25.025
03/17/2023,$24.93,1468250,$25.19,$25.28,$24.91
03/16/2023,$25.50,1645029,$25.00,$25.52,$24.95
03/15/2023,$24.89,1322424,$24.96,$25.00,$24.60
03/14/2023,$25.41,1279136,$25.23,$25.50,$25.12
03/13/2023,$25.72,1285969,$25.74,$25.91,$25.63
03/10/2023,$26.26,1085072,$26.48,$26.605,$26.1225
03/09/2023,$26.40,1028513,$26.77,$26.83,$26.365
03/08/2023,$26.55,623514,$26.52,$26.6387,$26.45
03/07/2023,$26.40,845766,$26.73,$26.74,$26.3313
