Date,Close/Last,Volume,Open,High,Low
05/09/2023,$18.31,160019,$18.32,$18.38,$18.24
05/08/2023,$18.306,69278,$18.41,$18.41,$18.27
05/05/2023,$18.37,132841,$18.19,$18.41,$18.17
05/04/2023,$17.91,99848,$17.96,$17.98,$17.715
05/03/2023,$19.38,130184,$19.25,$19.51,$19.22
05/02/2023,$19.24,178776,$19.32,$19.47,$19.02
05/01/2023,$19.50,174619,$19.61,$19.80,$19.40
04/28/2023,$19.45,231423,$19.25,$19.47,$19.21
04/27/2023,$19.3825,154669,$19.39,$19.44,$19.20
04/26/2023,$19.19,200554,$19.32,$19.36,$19.19
04/25/2023,$18.99,190499,$19.21,$19.21,$18.99
04/24/2023,$19.32,262952,$19.20,$19.32,$19.18
04/21/2023,$19.10,349709,$18.96,$19.10,$18.77
04/20/2023,$19.15,693486,$18.65,$19.36,$18.59
04/19/2023,$19.33,107630,$19.16,$19.34,$19.12
04/18/2023,$19.25,409424,$19.095,$19.27,$19.085
04/17/2023,$18.95,435187,$18.95,$18.98,$18.81
04/14/2023,$19.33,342418,$19.42,$19.46,$19.23
04/13/2023,$19.31,422996,$19.21,$19.314,$19.17
04/12/2023,$19.015,249207,$19.10,$19.13,$18.96
04/11/2023,$18.83,800764,$18.68,$18.85,$18.66
04/10/2023,$18.51,405838,$18.00,$18.5499,$18.00
04/06/2023,$18.55,84505,$18.33,$18.58,$18.32
04/05/2023,$18.66,132491,$18.71,$18.77,$18.57
04/04/2023,$19.25,72002,$19.25,$19.32,$19.20
04/03/2023,$19.21,101617,$19.10,$19.21,$19.018
03/31/2023,$19.18,58323,$19.13,$19.25,$19.10
03/30/2023,$19.38,305350,$19.23,$19.38,$19.16
03/29/2023,$19.02,115469,$18.96,$19.07,$18.94
03/28/2023,$18.88,464783,$19.40,$19.48,$18.79
03/27/2023,$19.31,63882,$19.29,$19.32,$19.175
03/24/2023,$18.73,128654,$18.49,$18.80,$18.40
03/23/2023,$18.965,74190,$19.26,$19.34,$18.86
03/22/2023,$19.13,119736,$19.19,$19.435,$19.13
03/21/2023,$19.00,92121,$19.01,$19.05,$18.88
03/20/2023,$18.54,97612,$18.42,$18.60,$18.42
03/17/2023,$18.43,70732,$18.33,$18.49,$18.1205
03/16/2023,$18.76,68272,$18.22,$18.77,$18.22
03/15/2023,$18.71,118412,$18.39,$18.77,$18.38
03/14/2023,$19.54,129331,$19.47,$19.54,$19.36
03/13/2023,$19.23,135410,$19.10,$19.315,$19.06
03/10/2023,$19.47,100363,$19.55,$19.68,$19.43
03/09/2023,$19.54,79464,$19.67,$19.81,$19.52
03/08/2023,$19.80,129755,$19.78,$19.90,$19.71
03/07/2023,$19.73,378643,$20.13,$20.13,$19.70
03/06/2023,$20.16,119180,$20.18,$20.24,$20.12
03/03/2023,$20.06,135627,$19.91,$20.11,$19.885
03/02/2023,$19.55,176831,$19.33,$19.60,$19.31
03/01/2023,$19.52,176881,$19.62,$19.67,$19.45
02/28/2023,$19.19,83230,$19.31,$19.34,$19.15
02/27/2023,$19.26,52355,$19.20,$19.268,$19.165
02/24/2023,$19.00,104931,$19.17,$19.17,$18.94
02/23/2023,$19.80,391295,$19.72,$19.80,$19.54
02/22/2023,$19.58,121688,$19.63,$19.73,$19.5201
02/21/2023,$19.66,442241,$19.78,$19.9199,$19.65
02/17/2023,$19.98,118016,$19.89,$20.02,$19.775
02/16/2023,$19.84,428152,$19.12,$19.84,$19.10
02/15/2023,$19.38,70224,$19.18,$19.38,$19.15
02/14/2023,$19.21,405230,$19.11,$19.37,$19.06
02/13/2023,$19.15,116567,$19.11,$19.17,$19.06
02/10/2023,$19.24,144379,$19.16,$19.24,$19.07
02/09/2023,$19.42,139018,$19.58,$19.65,$19.38
02/08/2023,$19.28,1072089,$19.37,$19.395,$19.1401
02/07/2023,$19.41,133147,$19.22,$19.41,$19.08
02/06/2023,$19.235,841364,$19.25,$19.2599,$19.10
02/03/2023,$19.33,371938,$19.44,$19.58,$19.305
02/02/2023,$19.64,854976,$19.60,$19.87,$19.54
02/01/2023,$19.23,331497,$18.82,$19.32,$18.81
01/31/2023,$18.54,70397,$18.36,$18.54,$18.315
01/30/2023,$18.29,212122,$18.40,$18.43,$18.23
01/27/2023,$18.72,107218,$18.58,$18.77,$18.58
01/26/2023,$18.60,113081,$18.54,$18.61,$18.465
01/25/2023,$18.50,89810,$18.31,$18.50,$18.27
01/24/2023,$18.42,454757,$18.20,$18.45,$18.15
01/23/2023,$18.288,292790,$18.06,$18.31,$18.06
01/20/2023,$17.96,126439,$17.72,$17.96,$17.67
01/19/2023,$17.83,192159,$17.79,$17.85,$17.64
01/18/2023,$18.09,73915,$18.36,$18.36,$18.05
01/17/2023,$18.10,76550,$18.14,$18.33,$18.04
01/13/2023,$18.21,73781,$18.12,$18.21,$18.06
01/12/2023,$18.68,78319,$18.54,$18.745,$18.374
01/11/2023,$18.335,95031,$18.33,$18.37,$18.25
01/10/2023,$18.23,178751,$18.14,$18.23,$18.05
01/09/2023,$17.90,130149,$18.012,$18.105,$17.90
01/06/2023,$17.718,250931,$17.24,$17.75,$17.17
01/05/2023,$17.46,66338,$17.46,$17.53,$17.40
01/04/2023,$17.44,157352,$17.38,$17.50,$17.35
01/03/2023,$16.88,202947,$17.01,$17.105,$16.80
12/30/2022,$16.35,120745,$16.46,$16.46,$16.23
12/29/2022,$16.46,72679,$16.36,$16.55,$16.36
12/28/2022,$16.19,199467,$16.31,$16.38,$16.15
12/27/2022,$16.41,98634,$16.35,$16.46,$16.34
12/23/2022,$16.24,86132,$16.17,$16.315,$16.12
12/22/2022,$16.15,107751,$16.28,$16.28,$16.00
12/21/2022,$16.57,79985,$16.51,$16.65,$16.475
12/20/2022,$16.40,102180,$16.41,$16.50,$16.35
12/19/2022,$16.51,123297,$16.612,$16.675,$16.45
12/16/2022,$16.43,245421,$16.46,$16.5299,$16.31
12/15/2022,$16.46,200055,$16.875,$16.89,$16.41
12/14/2022,$17.08,76285,$17.09,$17.235,$16.96
12/13/2022,$17.06,118928,$17.45,$17.45,$16.97
12/12/2022,$16.91,88355,$16.92,$16.9399,$16.78
12/09/2022,$16.95,173047,$16.92,$17.06,$16.90
12/08/2022,$16.64,134618,$16.52,$16.69,$16.435
12/07/2022,$16.58,83576,$16.67,$16.75,$16.53
12/06/2022,$16.58,192564,$16.85,$16.91,$16.51
12/05/2022,$16.78,272046,$16.92,$16.95,$16.72
12/02/2022,$16.90,302739,$16.73,$16.93,$16.73
12/01/2022,$16.86,308408,$16.87,$16.92,$16.705
11/30/2022,$16.93,294010,$16.72,$16.98,$16.48
11/29/2022,$16.17,119925,$16.06,$16.20,$16.06
11/28/2022,$15.825,261247,$16.00,$16.08,$15.793
11/25/2022,$16.17,35824,$16.13,$16.21,$16.1102
11/23/2022,$16.13,99549,$15.87,$16.13,$15.87
11/22/2022,$16.06,120433,$15.92,$16.06,$15.89
11/21/2022,$15.86,69917,$15.88,$15.9305,$15.794
11/18/2022,$16.01,111703,$15.97,$16.07,$15.86
11/17/2022,$15.67,179802,$15.41,$15.68,$15.41
11/16/2022,$15.91,241883,$15.97,$16.01,$15.805
