Date,Close/Last,Volume,Open,High,Low
05/09/2023,$8.305,49421,$8.23,$8.32,$8.23
05/08/2023,$8.12,19574,$8.11,$8.27,$8.08
05/05/2023,$8.0875,20702,$8.15,$8.15,$8.01
05/04/2023,$7.93,49349,$8.14,$8.14,$7.93
05/03/2023,$7.995,23743,$8.0135,$8.0784,$7.93
05/02/2023,$7.99,42900,$7.93,$8.01,$7.88
05/01/2023,$8.11,16030,$7.84,$8.11,$7.84
04/28/2023,$8.085,75154,$8.00,$8.10,$7.99
04/27/2023,$7.98,52494,$7.82,$8.00,$7.82
04/26/2023,$7.84,10843,$7.81,$7.84,$7.7608
04/25/2023,$7.815,35680,$7.90,$7.90,$7.78
04/24/2023,$7.87,26857,$7.80,$7.89,$7.80
04/21/2023,$7.75,21845,$7.70,$7.84,$7.70
04/20/2023,$7.73,82568,$7.83,$7.85,$7.73
04/19/2023,$7.774,17626,$7.81,$7.81,$7.76
04/18/2023,$7.83,22075,$7.82,$7.91,$7.81
04/17/2023,$7.77,36302,$7.705,$7.77,$7.705
04/14/2023,$7.7074,46353,$7.72,$7.85,$7.68
04/13/2023,$7.905,22143,$7.99,$7.99,$7.848
04/12/2023,$7.79,49035,$7.94,$7.94,$7.76
04/11/2023,$7.95,61234,$7.84,$7.95,$7.82
04/10/2023,$7.75,41984,$7.43,$7.76,$7.43
04/06/2023,$7.69,68907,$7.69,$7.71,$7.627
04/05/2023,$7.775,13463,$7.67,$7.92,$7.67
04/04/2023,$7.9175,62129,$8.00,$8.00,$7.89
04/03/2023,$7.97,44326,$8.00,$8.00,$7.95
03/31/2023,$7.95,22093,$7.98,$7.98,$7.92
03/30/2023,$7.975,26521,$7.78,$8.04,$7.78
03/29/2023,$7.94,19032,$8.00,$8.06,$7.91
03/28/2023,$7.87,25621,$7.81,$7.96,$7.81
03/27/2023,$7.91,45294,$7.92,$7.92,$7.842
03/24/2023,$7.83,32857,$7.795,$7.83,$7.75
03/23/2023,$7.83,18785,$7.835,$7.90,$7.7601
03/22/2023,$7.68,60902,$7.75,$7.82,$7.68
03/21/2023,$7.66,63748,$7.5701,$7.69,$7.5701
03/20/2023,$7.62,45256,$7.615,$7.70,$7.58
03/17/2023,$7.5003,79404,$7.60,$7.615,$7.50
03/16/2023,$7.664,84648,$7.65,$7.69,$7.53
03/15/2023,$7.525,81856,$7.64,$7.64,$7.48
03/14/2023,$7.75,55540,$7.60,$7.75,$7.60
03/13/2023,$7.9099,35218,$8.00,$8.00,$7.81
03/10/2023,$8.11,55423,$8.08,$8.29,$8.06
03/09/2023,$8.32,16508,$8.38,$8.43,$8.295
03/08/2023,$8.36,30026,$8.35,$8.39,$8.3104
03/07/2023,$8.25,27850,$8.30,$8.33,$8.195
03/06/2023,$8.22,17150,$8.24,$8.24,$8.1001
03/03/2023,$8.24,39841,$8.12,$8.29,$8.12
03/02/2023,$8.12,48136,$7.99,$8.14,$7.99
03/01/2023,$8.12,62767,$8.08,$8.12,$8.04
