Date,Close/Last,Volume,Open,High,Low,Brand
5/9/23,$140.85 ,401254,$141.44 ,$141.76 ,$140.58 ,TOYOTA
5/8/23,$137.81 ,187648,$137.85 ,$138.20 ,$137.29 ,TOYOTA
5/5/23,$137.54 ,223904,$136.21 ,$137.93 ,$135.73 ,TOYOTA
5/4/23,$134.91 ,241877,$135.20 ,$135.77 ,$134.88 ,TOYOTA
5/3/23,$135.57 ,265960,$135.91 ,$136.43 ,$135.31 ,TOYOTA
5/2/23,$135.16 ,221727,$135.30 ,$135.42 ,$134.25 ,TOYOTA
5/1/23,$136.69 ,147358,$137.33 ,$137.59 ,$136.55 ,TOYOTA
4/28/23,$137.33 ,296604,$136.62 ,$137.34 ,$136.29 ,TOYOTA
4/27/23,$137.52 ,323572,$135.76 ,$137.84 ,$135.76 ,TOYOTA
4/26/23,$134.02 ,324009,$134.49 ,$134.99 ,$133.88 ,TOYOTA
4/25/23,$133.51 ,257244,$134.75 ,$134.94 ,$133.46 ,TOYOTA
4/24/23,$134.84 ,222488,$134.05 ,$134.97 ,$133.89 ,TOYOTA
4/21/23,$134.67 ,165873,$134.42 ,$134.79 ,$133.39 ,TOYOTA
4/20/23,$133.80 ,513204,$134.00 ,$134.41 ,$133.02 ,TOYOTA
4/19/23,$135.26 ,209675,$135.90 ,$135.90 ,$134.79 ,TOYOTA
4/18/23,$137.04 ,199207,$137.09 ,$137.34 ,$136.56 ,TOYOTA
4/17/23,$137.75 ,322204,$136.71 ,$137.79 ,$136.66 ,TOYOTA
4/14/23,$135.96 ,279098,$136.48 ,$137.12 ,$135.62 ,TOYOTA
4/13/23,$137.23 ,281747,$137.05 ,$137.49 ,$136.30 ,TOYOTA
4/12/23,$136.44 ,283257,$137.57 ,$137.80 ,$136.31 ,TOYOTA
4/11/23,$137.59 ,275989,$137.54 ,$138.04 ,$137.23 ,TOYOTA
4/10/23,$138.01 ,347672,$138.53 ,$138.65 ,$136.89 ,TOYOTA
4/6/23,$138.87 ,223991,$139.19 ,$139.37 ,$138.21 ,TOYOTA
4/5/23,$140.42 ,220561,$140.55 ,$141.19 ,$140.17 ,TOYOTA
4/4/23,$142.14 ,349165,$143.04 ,$143.05 ,$141.67 ,TOYOTA
4/3/23,$142.34 ,232881,$142.00 ,$142.63 ,$141.64 ,TOYOTA
3/31/23,$141.69 ,234989,$140.99 ,$141.76 ,$140.90 ,TOYOTA
3/30/23,$139.62 ,193492,$140.00 ,$140.36 ,$139.29 ,TOYOTA
3/29/23,$139.67 ,214334,$139.60 ,$140.54 ,$139.31 ,TOYOTA
3/28/23,$137.93 ,210743,$137.41 ,$138.50 ,$137.11 ,TOYOTA
3/27/23,$136.96 ,137295,$136.69 ,$137.31 ,$136.43 ,TOYOTA
3/24/23,$136.65 ,156200,$136.01 ,$136.66 ,$135.20 ,TOYOTA
3/23/23,$135.87 ,129597,$136.62 ,$137.10 ,$135.18 ,TOYOTA
3/22/23,$135.57 ,301666,$136.07 ,$137.77 ,$135.49 ,TOYOTA
3/21/23,$135.78 ,224464,$135.20 ,$136.17 ,$135.00 ,TOYOTA
3/20/23,$135.13 ,277076,$133.65 ,$135.81 ,$133.55 ,TOYOTA
3/17/23,$133.48 ,192507,$135.56 ,$135.56 ,$133.27 ,TOYOTA
3/16/23,$135.90 ,190288,$134.03 ,$136.03 ,$133.77 ,TOYOTA
3/15/23,$133.58 ,287778,$135.00 ,$135.00 ,$132.35 ,TOYOTA
3/14/23,$136.67 ,221764,$136.41 ,$136.76 ,$135.56 ,TOYOTA
3/13/23,$137.12 ,247464,$136.41 ,$137.76 ,$136.33 ,TOYOTA
3/10/23,$137.97 ,343707,$139.20 ,$139.34 ,$137.45 ,TOYOTA
3/9/23,$138.52 ,166038,$140.18 ,$140.68 ,$138.26 ,TOYOTA
