Date,Close/Last,Volume,Open,High,Low
05/09/2023,$16.73,213550,$16.812,$16.89,$16.68
05/08/2023,$17.12,164560,$17.06,$17.13,$17.00
05/05/2023,$16.89,172097,$16.811,$16.92,$16.77
05/04/2023,$16.59,177199,$16.59,$16.68,$16.48
05/03/2023,$16.59,82640,$16.62,$16.80,$16.59
05/02/2023,$16.56,173678,$16.82,$16.88,$16.50
05/01/2023,$16.61,182846,$16.70,$16.78,$16.60
04/28/2023,$16.718,167952,$16.46,$16.76,$16.445
04/27/2023,$16.44,139606,$16.39,$16.46,$16.30
04/26/2023,$16.25,152129,$16.40,$16.45,$16.25
04/25/2023,$16.27,291039,$16.3995,$16.40,$16.25
04/24/2023,$16.6725,99871,$16.60,$16.70,$16.57
04/21/2023,$16.50,166459,$16.48,$16.53,$16.36
04/20/2023,$16.62,358770,$16.47,$16.74,$16.41
04/19/2023,$16.81,132276,$16.71,$16.88,$16.65
04/18/2023,$16.86,172836,$16.9095,$16.9399,$16.83
04/17/2023,$16.97,265156,$17.04,$17.06,$16.89
04/14/2023,$17.18,192234,$17.30,$17.345,$17.10
04/13/2023,$17.00,183607,$17.08,$17.08,$16.92
04/12/2023,$16.80,148134,$17.02,$17.05,$16.79
04/11/2023,$17.02,139352,$16.892,$17.06,$16.88
04/10/2023,$16.68,143355,$16.70,$16.70,$16.43
