Date,Close/Last,Volume,Open,High,Low,Brand
5/9/23,$1.02 ,10608,$1.02 ,$1.03 ,$1.01 ,FORD
5/8/23,$1.02 ,23868,$1.01 ,$1.03 ,$1.01 ,FORD
5/5/23,$1.02 ,9628,$1.01 ,$1.02 ,$1.01 ,FORD
5/4/23,$1.02 ,21342,$1.02 ,$1.04 ,$1.02 ,FORD
5/3/23,$1.02 ,41917,$1.02 ,$1.04 ,$1.01 ,FORD
5/2/23,$1.01 ,13259,$1.00 ,$1.03 ,$1.00 ,FORD
5/1/23,$1.01 ,48061,$1.02 ,$1.04 ,$1.00 ,FORD
4/28/23,$1.02 ,11343,$1.06 ,$1.06 ,$1.01 ,FORD
4/27/23,$1.03 ,7226,$1.03 ,$1.04 ,$1.03 ,FORD
4/26/23,$1.02 ,7819,$1.05 ,$1.05 ,$1.01 ,FORD
4/25/23,$1.02 ,7099,$1.02 ,$1.03 ,$1.02 ,FORD
4/24/23,$1.04 ,7350,$1.03 ,$1.06 ,$1.03 ,FORD
4/21/23,$1.04 ,6421,$1.04 ,$1.06 ,$1.03 ,FORD
4/20/23,$1.05 ,24804,$1.05 ,$1.06 ,$1.00 ,FORD
4/19/23,$1.05 ,19571,$1.07 ,$1.07 ,$1.05 ,FORD
4/18/23,$1.07 ,11705,$1.12 ,$1.12 ,$1.07 ,FORD
4/17/23,$1.09 ,6424,$1.12 ,$1.12 ,$1.09 ,FORD
4/14/23,$1.10 ,6588,$1.14 ,$1.15 ,$1.10 ,FORD
4/13/23,$1.17 ,10865,$1.20 ,$1.21 ,$1.15 ,FORD
4/12/23,$1.21 ,39821,$1.15 ,$1.21 ,$1.14 ,FORD
4/11/23,$1.15 ,7314,$1.12 ,$1.17 ,$1.12 ,FORD
4/10/23,$1.15 ,10233,$1.12 ,$1.18 ,$1.12 ,FORD
4/6/23,$1.16 ,39491,$1.15 ,$1.20 ,$1.15 ,FORD
4/5/23,$1.14 ,28590,$1.14 ,$1.16 ,$1.13 ,FORD
4/4/23,$1.14 ,17718,$1.15 ,$1.16 ,$1.14 ,FORD
4/3/23,$1.15 ,56745,$1.14 ,$1.17 ,$1.11 ,FORD
3/31/23,$1.12 ,34561,$1.10 ,$1.12 ,$1.09 ,FORD
3/30/23,$1.07 ,11517,$1.04 ,$1.07 ,$1.02 ,FORD
3/29/23,$1.05 ,17466,$1.04 ,$1.06 ,$1.03 ,FORD
3/28/23,$1.02 ,28348,$1.00 ,$1.06 ,$0.95 ,FORD
3/27/23,$1.01 ,17468,$1.01 ,$1.05 ,$1.01 ,FORD
3/24/23,$1.05 ,13304,$1.03 ,$1.05 ,$1.00 ,FORD
3/23/23,$1.03 ,36409,$1.04 ,$1.04 ,$1.00 ,FORD
3/22/23,$1.01 ,17228,$1.00 ,$1.04 ,$1.00 ,FORD
3/21/23,$1.01 ,35755,$1.03 ,$1.03 ,$1.00 ,FORD
3/20/23,$1.01 ,39555,$1.04 ,$1.04 ,$1.00 ,FORD
3/17/23,$1.05 ,15394,$1.04 ,$1.09 ,$1.04 ,FORD
3/16/23,$1.06 ,95073,$1.11 ,$1.20 ,$1.03 ,FORD
3/15/23,$1.12 ,27370,$1.11 ,$1.17 ,$1.10 ,FORD
3/14/23,$1.13 ,8232,$1.11 ,$1.16 ,$1.11 ,FORD
3/13/23,$1.11 ,22817,$1.13 ,$1.16 ,$1.11 ,FORD
3/10/23,$1.14 ,14898,$1.14 ,$1.16 ,$1.11 ,FORD
3/9/23,$1.14 ,18439,$1.13 ,$1.18 ,$1.13 ,FORD
3/8/23,$1.12 ,16997,$1.20 ,$1.20 ,$1.12 ,FORD
3/7/23,$1.17 ,16559,$1.21 ,$1.23 ,$1.15 ,FORD
3/6/23,$1.21 ,42583,$1.12 ,$1.21 ,$1.12 ,FORD
3/3/23,$1.12 ,29942,$1.12 ,$1.14 ,$1.11 ,FORD
3/2/23,$1.12 ,22063,$1.12 ,$1.14 ,$1.12 ,FORD
3/1/23,$1.13 ,31367,$1.13 ,$1.16 ,$1.12 ,FORD
2/28/23,$1.13 ,13357,$1.14 ,$1.17 ,$1.12 ,FORD
2/27/23,$1.12 ,16001,$1.13 ,$1.16 ,$1.12 ,FORD
2/24/23,$1.14 ,6619,$1.14 ,$1.17 ,$1.13 ,FORD
2/23/23,$1.17 ,19742,$1.15 ,$1.21 ,$1.13 ,FORD
2/22/23,$1.14 ,14090,$1.15 ,$1.18 ,$1.12 ,FORD
2/21/23,$1.15 ,26828,$1.26 ,$1.26 ,$1.12 ,FORD
2/17/23,$1.25 ,23737,$1.27 ,$1.30 ,$1.25 ,FORD
2/16/23,$1.28 ,29169,$1.26 ,$1.32 ,$1.26 ,FORD
2/15/23,$1.32 ,20692,$1.35 ,$1.35 ,$1.30 ,FORD
2/14/23,$1.32 ,72006,$1.29 ,$1.36 ,$1.24 ,FORD
2/13/23,$1.36 ,232312,$1.31 ,$1.36 ,$1.26 ,FORD
2/10/23,$1.30 ,17060,$1.32 ,$1.34 ,$1.26 ,FORD
2/9/23,$1.32 ,41726,$1.34 ,$1.36 ,$1.28 ,FORD
2/8/23,$1.31 ,24890,$1.29 ,$1.31 ,$1.27 ,FORD
2/7/23,$1.29 ,14678,$1.26 ,$1.29 ,$1.25 ,FORD
2/6/23,$1.27 ,87688,$1.26 ,$1.31 ,$1.21 ,FORD
2/3/23,$1.26 ,29943,$1.31 ,$1.32 ,$1.26 ,FORD
2/2/23,$1.29 ,25961,$1.30 ,$1.31 ,$1.27 ,FORD
2/1/23,$1.29 ,20050,$1.31 ,$1.31 ,$1.27 ,FORD
1/31/23,$1.26 ,33406,$1.27 ,$1.31 ,$1.25 ,FORD
1/30/23,$1.26 ,33339,$1.19 ,$1.26 ,$1.18 ,FORD
1/27/23,$1.19 ,25637,$1.20 ,$1.23 ,$1.18 ,FORD
1/26/23,$1.23 ,23905,$1.25 ,$1.26 ,$1.19 ,FORD
1/25/23,$1.26 ,15271,$1.23 ,$1.26 ,$1.23 ,FORD
1/24/23,$1.21 ,17069,$1.22 ,$1.27 ,$1.20 ,FORD
1/23/23,$1.27 ,15034,$1.31 ,$1.31 ,$1.25 ,FORD
1/20/23,$1.29 ,33573,$1.26 ,$1.33 ,$1.22 ,FORD
1/19/23,$1.26 ,17156,$1.25 ,$1.27 ,$1.22 ,FORD
1/18/23,$1.27 ,11505,$1.26 ,$1.27 ,$1.26 ,FORD
1/17/23,$1.26 ,10420,$1.26 ,$1.27 ,$1.25 ,FORD
1/13/23,$1.23 ,23552,$1.17 ,$1.25 ,$1.17 ,FORD
1/12/23,$1.16 ,17794,$1.16 ,$1.16 ,$1.14 ,FORD
1/11/23,$1.12 ,44986,$1.13 ,$1.17 ,$1.12 ,FORD
1/10/23,$1.12 ,17496,$1.12 ,$1.13 ,$1.11 ,FORD
1/9/23,$1.12 ,39660,$1.14 ,$1.14 ,$1.06 ,FORD
1/6/23,$1.11 ,38391,$1.09 ,$1.16 ,$1.09 ,FORD
1/5/23,$1.08 ,26847,$1.07 ,$1.08 ,$1.05 ,FORD
1/4/23,$1.04 ,37488,$1.01 ,$1.08 ,$1.01 ,FORD
1/3/23,$1.03 ,19559,$1.04 ,$1.07 ,$1.03 ,FORD
12/30/22,$1.07 ,24792,$1.04 ,$1.10 ,$1.04 ,FORD
12/29/22,$1.06 ,8719,$1.05 ,$1.08 ,$1.04 ,FORD
12/28/22,$1.05 ,13923,$1.05 ,$1.13 ,$1.04 ,FORD
12/27/22,$1.04 ,25195,$1.13 ,$1.13 ,$1.04 ,FORD
12/23/22,$1.12 ,5935,$1.08 ,$1.12 ,$1.08 ,FORD
12/22/22,$1.09 ,20963,$1.10 ,$1.10 ,$1.08 ,FORD
12/21/22,$1.10 ,9752,$1.16 ,$1.16 ,$1.10 ,FORD
12/20/22,$1.14 ,33525,$1.13 ,$1.16 ,$1.12 ,FORD
12/19/22,$1.13 ,24275,$1.12 ,$1.18 ,$1.12 ,FORD
12/16/22,$1.14 ,13997,$1.14 ,$1.16 ,$1.12 ,FORD
12/15/22,$1.15 ,16872,$1.15 ,$1.21 ,$1.14 ,FORD
12/14/22,$1.18 ,5502,$1.20 ,$1.22 ,$1.18 ,FORD
12/13/22,$1.20 ,5595,$1.14 ,$1.24 ,$1.14 ,FORD
12/12/22,$1.20 ,7670,$1.25 ,$1.25 ,$1.18 ,FORD
12/9/22,$1.25 ,7847,$1.18 ,$1.27 ,$1.18 ,FORD
12/8/22,$1.20 ,14290,$1.21 ,$1.21 ,$1.18 ,FORD
12/7/22,$1.23 ,1534,$1.22 ,$1.23 ,$1.21 ,FORD
12/6/22,$1.23 ,6898,$1.22 ,$1.23 ,$1.20 ,FORD
12/5/22,$1.21 ,6880,$1.27 ,$1.27 ,$1.21 ,FORD
12/2/22,$1.27 ,7043,$1.26 ,$1.28 ,$1.26 ,FORD
12/1/22,$1.26 ,5588,$1.25 ,$1.26 ,$1.24 ,FORD
11/30/22,$1.24 ,9864,$1.22 ,$1.26 ,$1.22 ,FORD
11/29/22,$1.24 ,5252,$1.23 ,$1.26 ,$1.22 ,FORD
11/28/22,$1.22 ,7377,$1.22 ,$1.25 ,$1.22 ,FORD
11/25/22,$1.24 ,3857,$1.25 ,$1.25 ,$1.22 ,FORD
11/23/22,$1.25 ,13006,$1.24 ,$1.27 ,$1.22 ,FORD
11/22/22,$1.24 ,6939,$1.26 ,$1.28 ,$1.22 ,FORD
11/21/22,$1.24 ,12358,$1.28 ,$1.31 ,$1.23 ,FORD
11/18/22,$1.28 ,4279,$1.25 ,$1.28 ,$1.25 ,FORD
11/17/22,$1.26 ,6691,$1.28 ,$1.31 ,$1.25 ,FORD
