Date,Price,,,,,,,,
5/11/18,2727.72,,,,,,,,
5/14/18,2730.13,,,,,,,,
5/15/18,2711.45,,,,,,,,
5/16/18,2722.46,,,,,,,,
5/17/18,2720.13,,,,,,,,
5/18/18,2712.97,,,,,,,,
5/21/18,2733.01,,,,,,,,
5/22/18,2724.44,,,,,,,,
5/23/18,2733.29,,,,,,,,
5/24/18,2727.76,,,,,,,,
5/25/18,2721.33,,,,,,,,
5/29/18,2689.86,,,,,,,,
5/30/18,2724.01,,,,,,,,
5/31/18,2705.27,,,,,,,,
6/1/18,2734.62,,,,,,,,
6/4/18,2746.87,,,,,,,,
6/5/18,2748.8,,,,,,,,
6/6/18,2772.35,,,,,,,,
6/7/18,2770.37,,,,,,,,
6/8/18,2779.03,,,,,,,,
6/11/18,2782,,,,,,,,
6/12/18,2786.85,,,,,,,,
6/13/18,2775.63,,,,,,,,
6/14/18,2782.49,,,,,,,,
6/15/18,2779.66,,,,,,,,
6/18/18,2773.75,,,,,,,,
6/19/18,2762.59,,,,,,,,
6/20/18,2767.32,,,,,,,,
6/21/18,2749.76,,,,,,,,
6/22/18,2754.88,,,,,,,,
6/25/18,2717.07,,,,,,,,
6/26/18,2723.06,,,,,,,,
6/27/18,2699.63,,,,,,,,
6/28/18,2716.31,,,,,,,,
6/29/18,2718.37,,,,,,,,
7/2/18,2726.71,,,,,,,,
7/3/18,2713.22,,,,,,,,
7/5/18,2736.61,,,,,,,,
7/6/18,2759.82,,,,,,,,
7/9/18,2784.17,,,,,,,,
7/10/18,2793.84,,,,,,,,
7/11/18,2774.02,,,,,,,,
7/12/18,2798.29,,,,,,,,
7/13/18,2801.31,,,,,,,,
7/16/18,2798.43,,,,,,,,
7/17/18,2809.55,,,,,,,,
7/18/18,2815.62,,,,,,,,
7/19/18,2804.49,,,,,,,,
7/20/18,2801.83,,,,,,,,
7/23/18,2806.98,,,,,,,,
7/24/18,2820.4,,,,,,,,
7/25/18,2846.07,,,,,,,,
7/26/18,2837.44,,,,,,,,
7/27/18,2818.82,,,,,,,,
7/30/18,2802.6,,,,,,,,
7/31/18,2816.29,,,,,,,,
8/1/18,2813.36,,,,,,,,
8/2/18,2827.22,,,,,,,,
8/3/18,2840.35,,,,,,,,
8/6/18,2850.4,,,,,,,,
8/7/18,2858.45,,,,,,,,
8/8/18,2857.7,,,,,,,,
8/9/18,2853.58,,,,,,,,
8/10/18,2833.28,,,,,,,,
